#particle, x, y, area, density
557, 178, 176, 4, 154.50
558, 1336, 176, 15, 158.60
559, 185, 177, 51, 155.94
560, 289, 177, 17, 147.65
561, 382, 177, 4, 146.25
562, 451, 177, 19, 159.16
563, 659, 177, 27, 156.48
564, 816, 177, 38, 158.42
565, 1035, 177, 25, 153.40
566, 216, 178, 12, 145.42
567, 1210, 178, 28, 171.36
568, 688, 179, 52, 151.65
569, 828, 179, 4, 162.50
570, 358, 180, 4, 152.50
571, 604, 181, 32, 155.66
572, 644, 181, 92, 156.37
573, 1061, 181, 13, 154.31
574, 257, 182, 30, 147.57
575, 329, 182, 31, 150.32
576, 1326, 182, 50, 148.82
577, 289, 183, 4, 147.75
578, 558, 183, 17, 159.29
579, 1133, 183, 10, 154.80
580, 284, 184, 40, 151.85
581, 631, 184, 54, 159.26
582, 701, 184, 45, 151.27
583, 752, 184, 15, 161.60
584, 768, 184, 24, 159.71
585, 811, 184, 13, 167.69
586, 1139, 184, 28, 150.61
587, 833, 185, 22, 163.45
588, 1338, 185, 10, 154.00
589, 533, 186, 37, 155.78
590, 1308, 186, 43, 151.09
591, 573, 187, 82, 150.72
592, 990, 187, 30, 157.13
593, 1128, 187, 4, 155.75
594, 139, 188, 17, 152.41
595, 183, 188, 22, 159.55
596, 278, 188, 10, 154.10
597, 1000, 188, 79, 148.13
598, 1252, 188, 15, 147.93
599, 57, 189, 38, 147.92
600, 96, 189, 4, 138.50
601, 552, 189, 23, 155.83
602, 447, 190, 77, 157.52
603, 663, 190, 56, 158.93
604, 1091, 190, 19, 150.26
605, 1280, 190, 13, 152.00
606, 1314, 190, 30, 151.37
607, 581, 191, 27, 155.44
608, 677, 191, 14, 162.21
609, 798, 191, 46, 155.22
610, 31, 192, 15, 156.40
611, 361, 192, 29, 155.00
612, 432, 192, 47, 154.66
613, 684, 192, 40, 147.18
614, 777, 192, 20, 168.35
615, 336, 193, 48, 151.27
616, 409, 193, 37, 156.89
617, 655, 193, 26, 161.42
618, 760, 193, 31, 158.77
619, 1269, 193, 35, 149.91
620, 1287, 193, 33, 148.21
621, 768, 194, 4, 152.75
622, 1243, 194, 15, 157.27
623, 321, 195, 28, 149.18
624, 546, 195, 30, 158.87
625, 957, 195, 49, 154.31
626, 142, 196, 24, 149.62
627, 789, 196, 13, 167.15
628, 1146, 196, 29, 161.24
629, 44, 198, 25, 151.96
630, 71, 198, 41, 139.78
631, 88, 198, 61, 143.28
632, 353, 198, 41, 153.68
633, 1051, 198, 14, 164.14
634, 423, 199, 38, 157.16
635, 714, 199, 21, 160.81
636, 723, 199, 10, 161.20
637, 806, 199, 36, 165.58
638, 1089, 199, 32, 151.38
639, 1339, 199, 23, 148.22
640, 7, 200, 26, 164.42
641, 465, 200, 37, 154.43
642, 772, 200, 29, 158.72
643, 834, 200, 10, 162.50
644, 926, 200, 33, 150.27
645, 1155, 200, 26, 159.50
646, 1245, 200, 33, 147.33
647, 1334, 200, 63, 151.70
648, 798, 201, 11, 167.64
649, 27, 202, 22, 154.23
650, 734, 202, 22, 158.41
651, 411, 203, 31, 156.45
652, 886, 203, 18, 156.17
653, 910, 203, 52, 152.13
654, 1110, 203, 4, 144.50
655, 363, 204, 32, 148.06
656, 506, 204, 76, 161.21
657, 580, 204, 58, 151.95
658, 658, 204, 35, 154.63
659, 790, 204, 32, 158.72
660, 1327, 204, 4, 151.00
661, 446, 205, 13, 161.00
662, 964, 205, 17, 155.06
663, 1097, 205, 28, 154.11
664, 1290, 205, 13, 153.62
665, 207, 206, 74, 144.54
666, 450, 206, 23, 156.43
667, 1190, 206, 56, 172.21
668, 492, 208, 13, 162.62
669, 647, 208, 8, 161.38
670, 46, 209, 84, 144.95
671, 105, 209, 38, 136.71
672, 1329, 209, 6, 153.33
673, 879, 210, 15, 159.60
674, 1053, 210, 9, 170.00
675, 725, 211, 32, 156.59
676, 1238, 211, 46, 144.37
677, 1264, 211, 27, 149.33
678, 247, 212, 32, 159.00
679, 752, 213, 47, 159.72
680, 1148, 213, 33, 157.64
681, 445, 214, 10, 159.50
682, 600, 214, 29, 153.83
683, 38, 215, 4, 150.25
684, 340, 215, 4, 149.50
685, 58, 216, 12, 148.42
686, 127, 216, 13, 148.92
687, 518, 216, 13, 158.23
688, 661, 216, 8, 163.00
689, 787, 216, 4, 152.25
690, 1319, 216, 14, 154.79
691, 504, 218, 4, 155.00
692, 513, 218, 84, 152.06
693, 545, 218, 4, 154.25
694, 1098, 218, 15, 151.40
695, 1311, 218, 39, 146.49
696, 344, 219, 15, 153.67
697, 529, 219, 47, 136.87
698, 1046, 219, 10, 163.60
699, 37, 220, 30, 150.37
700, 804, 220, 24, 152.17
701, 892, 220, 20, 153.80
702, 898, 220, 37, 159.19
703, 931, 220, 10, 156.50
704, 738, 221, 4, 158.50
705, 744, 221, 49, 160.08
706, 1089, 221, 22, 151.00
707, 241, 222, 39, 159.26
708, 335, 222, 26, 153.15
709, 355, 222, 12, 155.08
710, 378, 222, 17, 163.06
711, 1189, 223, 4, 174.25
712, 1319, 223, 80, 145.90
713, 52, 224, 13, 149.46
714, 519, 224, 91, 154.73
715, 838, 224, 40, 163.97
716, 936, 224, 4, 148.75
717, 104, 225, 28, 148.75
718, 735, 225, 21, 158.57
719, 399, 226, 43, 153.40
720, 730, 226, 13, 159.69
721, 964, 226, 35, 151.74
722, 1098, 226, 38, 147.76
723, 18, 227, 30, 150.30
724, 350, 227, 47, 154.57
725, 1057, 227, 17, 176.06
726, 1162, 227, 60, 170.02
727, 256, 228, 4, 158.75
728, 304, 228, 52, 151.48
729, 606, 228, 28, 152.43
730, 932, 228, 88, 152.36
731, 1048, 228, 4, 171.50
732, 1156, 228, 23, 167.74
733, 1200, 228, 42, 169.93
734, 664, 229, 4, 161.50
735, 166, 230, 28, 159.75
736, 332, 230, 18, 155.56
737, 343, 230, 22, 154.00
738, 546, 230, 33, 155.76
739, 622, 230, 17, 158.94
740, 805, 230, 17, 155.24
741, 1239, 230, 15, 163.67
742, 683, 231, 26, 165.31
743, 895, 231, 4, 162.50
744, 950, 231, 17, 145.76
745, 956, 231, 12, 153.17
746, 983, 231, 22, 148.09
747, 1176, 231, 10, 175.90
748, 507, 232, 94, 152.60
749, 1061, 232, 49, 152.51
750, 1152, 233, 26, 157.50
751, 47, 234, 10, 150.30
752, 439, 234, 29, 158.28
753, 745, 234, 4, 158.25
754, 755, 234, 4, 156.25
755, 1216, 234, 15, 176.60
756, 416, 235, 15, 163.40
757, 1236, 235, 72, 153.15
758, 243, 236, 26, 159.62
759, 556, 236, 20, 159.15
760, 919, 236, 58, 156.83
761, 1093, 236, 4, 148.00
762, 392, 237, 19, 160.26
763, 448, 237, 98, 147.72
764, 968, 237, 10, 154.60
765, 1006, 237, 10, 153.10
766, 1079, 237, 23, 152.57
767, 402, 238, 25, 157.08
768, 720, 238, 52, 155.79
769, 1076, 238, 33, 161.85
770, 32, 239, 39, 150.92
771, 117, 239, 38, 151.32
772, 338, 239, 21, 154.24
773, 348, 239, 39, 153.15
774, 680, 239, 12, 164.33
775, 798, 239, 4, 148.75
776, 1317, 239, 40, 150.80
777, 891, 240, 15, 163.47
778, 520, 241, 28, 154.64
779, 171, 242, 48, 159.67
780, 299, 242, 63, 136.49
781, 1188, 242, 12, 178.42
782, 1224, 242, 29, 169.52
783, 183, 243, 10, 160.80
784, 320, 243, 15, 154.00
785, 356, 243, 58, 138.62
786, 856, 243, 19, 155.16
787, 916, 243, 17, 165.59
788, 977, 243, 25, 142.56
789, 1209, 243, 19, 172.37
790, 232, 244, 4, 158.50
791, 405, 245, 4, 153.50
792, 155, 246, 67, 152.67
793, 257, 246, 4, 157.75
794, 431, 246, 12, 154.25
795, 463, 246, 12, 149.83
796, 231, 247, 54, 152.11
797, 995, 247, 26, 159.38
798, 1108, 247, 52, 152.31
799, 909, 248, 68, 162.18
800, 23, 249, 96, 151.65
801, 127, 249, 13, 158.15
802, 459, 249, 56, 140.09
803, 517, 249, 4, 156.75
804, 1071, 249, 32, 151.75
805, 1182, 250, 30, 165.83
806, 97, 251, 4, 155.25
807, 350, 251, 30, 151.37
808, 882, 251, 10, 161.00
809, 1141, 252, 51, 151.69
810, 746, 254, 28, 160.75
811, 1172, 254, 26, 158.42
812, 1332, 254, 69, 145.94
813, 119, 255, 31, 151.97
814, 131, 255, 35, 153.91
815, 263, 255, 41, 164.41
816, 304, 255, 43, 149.53
817, 1027, 255, 15, 162.40
818, 1211, 255, 71, 163.21
819, 1257, 255, 32, 137.16
820, 42, 256, 15, 154.73
821, 284, 256, 89, 161.00
822, 174, 257, 26, 154.58
823, 376, 257, 15, 160.07
824, 34, 258, 18, 151.83
825, 723, 259, 27, 159.07
826, 546, 262, 10, 159.30
827, 825, 262, 34, 142.79
828, 1026, 262, 10, 161.50
829, 1111, 262, 4, 155.00
830, 298, 263, 24, 155.62
831, 1005, 263, 8, 162.12
832, 421, 264, 4, 155.25
833, 475, 264, 48, 151.58
834, 115, 265, 67, 149.90
835, 557, 265, 26, 160.35
836, 1337, 265, 35, 172.71
837, 282, 266, 71, 162.49
838, 293, 266, 34, 159.06
839, 417, 266, 10, 158.50
840, 696, 266, 10, 154.50
841, 1265, 266, 4, 129.00
842, 6, 267, 12, 151.58
843, 797, 267, 9, 157.11
844, 165, 268, 29, 148.66
845, 868, 268, 26, 148.77
846, 1323, 268, 90, 166.58
847, 310, 269, 13, 154.62
848, 716, 269, 62, 144.18
849, 731, 269, 13, 159.38
850, 234, 270, 10, 161.60
851, 356, 271, 36, 134.72
852, 624, 271, 14, 168.86
853, 807, 271, 4, 147.50
854, 1143, 271, 60, 151.18
855, 1211, 271, 4, 164.75
856, 53, 272, 4, 152.00
857, 89, 272, 12, 155.67
858, 451, 272, 16, 152.75
859, 500, 272, 53, 147.36
